vin_label,label,heuristic,ever_fires,first_fire_idx,first_fire_date,first_fire_k,lead_days,n_episodes
VIN10_F_SM,1,H1_momentum,True,8.0,2025-08-25,18.0,126.0,3
VIN10_F_SM,1,H2_pers_red,True,22.0,2025-12-01,4.0,28.0,1
VIN10_F_SM,1,H3_escalation,True,17.0,2025-10-27,9.0,63.0,1
VIN10_F_SM,1,H4_multichannel,True,4.0,2025-07-28,22.0,154.0,1
VIN10_F_SM,1,H5_fleet_pctile,True,24.0,2025-12-15,2.0,14.0,1
VIN10_NF_SM,0,H1_momentum,True,4.0,2024-09-25,22.0,154.0,2
VIN10_NF_SM,0,H2_pers_red,False,,,,,0
VIN10_NF_SM,0,H3_escalation,False,,,,,0
VIN10_NF_SM,0,H4_multichannel,True,18.0,2025-01-01,8.0,56.0,2
VIN10_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN11_F_SM,1,H1_momentum,True,4.0,2025-06-21,22.0,154.0,4
VIN11_F_SM,1,H2_pers_red,True,21.0,2025-10-18,5.0,35.0,1
VIN11_F_SM,1,H3_escalation,True,7.0,2025-07-12,19.0,133.0,3
VIN11_F_SM,1,H4_multichannel,True,0.0,2025-05-24,26.0,182.0,1
VIN11_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN11_NF_SM,0,H1_momentum,True,5.0,2024-12-31,21.0,147.0,1
VIN11_NF_SM,0,H2_pers_red,False,,,,,0
VIN11_NF_SM,0,H3_escalation,True,7.0,2025-01-14,19.0,133.0,1
VIN11_NF_SM,0,H4_multichannel,True,3.0,2024-12-17,23.0,161.0,1
VIN11_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN12_F_SM,1,H1_momentum,True,6.0,2025-07-20,20.0,140.0,2
VIN12_F_SM,1,H2_pers_red,True,12.0,2025-08-31,14.0,98.0,2
VIN12_F_SM,1,H3_escalation,True,10.0,2025-08-17,16.0,112.0,1
VIN12_F_SM,1,H4_multichannel,True,7.0,2025-07-27,19.0,133.0,1
VIN12_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN12_NF_SM,0,H1_momentum,True,15.0,2025-12-03,11.0,77.0,1
VIN12_NF_SM,0,H2_pers_red,False,,,,,0
VIN12_NF_SM,0,H3_escalation,False,,,,,0
VIN12_NF_SM,0,H4_multichannel,True,15.0,2025-12-03,11.0,77.0,1
VIN12_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN13_F_SM,1,H1_momentum,True,6.0,2025-06-19,20.0,140.0,2
VIN13_F_SM,1,H2_pers_red,True,7.0,2025-06-26,19.0,133.0,2
VIN13_F_SM,1,H3_escalation,True,22.0,2025-10-09,4.0,28.0,2
VIN13_F_SM,1,H4_multichannel,True,0.0,2025-05-08,26.0,182.0,3
VIN13_F_SM,1,H5_fleet_pctile,True,9.0,2025-07-10,17.0,119.0,1
VIN13_NF_SM,0,H1_momentum,True,5.0,2025-03-03,21.0,147.0,1
VIN13_NF_SM,0,H2_pers_red,False,,,,,0
VIN13_NF_SM,0,H3_escalation,False,,,,,0
VIN13_NF_SM,0,H4_multichannel,True,6.0,2025-03-10,20.0,140.0,2
VIN13_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN14_F_SM,1,H1_momentum,True,11.0,2025-08-04,15.0,105.0,1
VIN14_F_SM,1,H2_pers_red,True,2.0,2025-06-02,24.0,168.0,2
VIN14_F_SM,1,H3_escalation,True,15.0,2025-09-01,11.0,77.0,1
VIN14_F_SM,1,H4_multichannel,True,0.0,2025-05-19,26.0,182.0,3
VIN14_F_SM,1,H5_fleet_pctile,True,14.0,2025-08-25,12.0,84.0,1
VIN14_NF_SM,0,H1_momentum,True,9.0,2025-10-22,17.0,119.0,1
VIN14_NF_SM,0,H2_pers_red,False,,,,,0
VIN14_NF_SM,0,H3_escalation,True,10.0,2025-10-29,16.0,112.0,1
VIN14_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,2
VIN14_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN15_NF_SM,0,H1_momentum,True,7.0,2025-10-08,19.0,133.0,1
VIN15_NF_SM,0,H2_pers_red,False,,,,,0
VIN15_NF_SM,0,H3_escalation,False,,,,,0
VIN15_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,1
VIN15_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN16_NF_SM,0,H1_momentum,True,4.0,2025-09-15,22.0,154.0,2
VIN16_NF_SM,0,H2_pers_red,True,4.0,2025-09-15,22.0,154.0,2
VIN16_NF_SM,0,H3_escalation,True,14.0,2025-11-24,12.0,84.0,1
VIN16_NF_SM,0,H4_multichannel,True,0.0,2025-08-18,26.0,182.0,2
VIN16_NF_SM,0,H5_fleet_pctile,True,5.0,2025-09-22,21.0,147.0,1
VIN17_NF_SM,0,H1_momentum,True,4.0,2025-09-17,22.0,154.0,1
VIN17_NF_SM,0,H2_pers_red,False,,,,,0
VIN17_NF_SM,0,H3_escalation,False,,,,,0
VIN17_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,1
VIN17_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN18_NF_SM,0,H1_momentum,True,9.0,2025-10-15,17.0,119.0,2
VIN18_NF_SM,0,H2_pers_red,True,11.0,2025-10-29,15.0,105.0,1
VIN18_NF_SM,0,H3_escalation,False,,,,,0
VIN18_NF_SM,0,H4_multichannel,True,12.0,2025-11-05,14.0,98.0,2
VIN18_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN19_NF_SM,0,H1_momentum,False,,,,,0
VIN19_NF_SM,0,H2_pers_red,False,,,,,0
VIN19_NF_SM,0,H3_escalation,False,,,,,0
VIN19_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,7
VIN19_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN1_F_SM,1,H1_momentum,False,,,,,0
VIN1_F_SM,1,H2_pers_red,False,,,,,0
VIN1_F_SM,1,H3_escalation,False,,,,,0
VIN1_F_SM,1,H4_multichannel,True,4.0,2025-04-14,22.0,154.0,1
VIN1_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN1_NF_SM,0,H1_momentum,True,5.0,2025-09-24,21.0,147.0,2
VIN1_NF_SM,0,H2_pers_red,False,,,,,0
VIN1_NF_SM,0,H3_escalation,False,,,,,0
VIN1_NF_SM,0,H4_multichannel,True,2.0,2025-09-03,24.0,168.0,2
VIN1_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN20_NF_SM,0,H1_momentum,True,15.0,2025-07-11,11.0,77.0,2
VIN20_NF_SM,0,H2_pers_red,False,,,,,0
VIN20_NF_SM,0,H3_escalation,True,26.0,2025-09-26,0.0,0.0,1
VIN20_NF_SM,0,H4_multichannel,True,0.0,2025-03-28,26.0,182.0,4
VIN20_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN2_F_SM,1,H1_momentum,True,8.0,2025-10-11,9.0,63.0,3
VIN2_F_SM,1,H2_pers_red,False,,,,,0
VIN2_F_SM,1,H3_escalation,True,14.0,2025-11-22,3.0,21.0,1
VIN2_F_SM,1,H4_multichannel,True,8.0,2025-10-11,9.0,63.0,2
VIN2_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN2_NF_SM,0,H1_momentum,True,7.0,2025-10-08,19.0,133.0,2
VIN2_NF_SM,0,H2_pers_red,True,16.0,2025-12-10,10.0,70.0,1
VIN2_NF_SM,0,H3_escalation,True,14.0,2025-11-26,12.0,84.0,2
VIN2_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,1
VIN2_NF_SM,0,H5_fleet_pctile,True,19.0,2025-12-31,7.0,49.0,1
VIN3_F_SM,1,H1_momentum,True,4.0,2025-07-15,22.0,154.0,2
VIN3_F_SM,1,H2_pers_red,True,5.0,2025-07-22,21.0,147.0,2
VIN3_F_SM,1,H3_escalation,False,,,,,0
VIN3_F_SM,1,H4_multichannel,True,2.0,2025-07-01,24.0,168.0,2
VIN3_F_SM,1,H5_fleet_pctile,True,6.0,2025-07-29,20.0,140.0,1
VIN3_NF_SM,0,H1_momentum,True,12.0,2025-11-12,14.0,98.0,1
VIN3_NF_SM,0,H2_pers_red,False,,,,,0
VIN3_NF_SM,0,H3_escalation,True,13.0,2025-11-19,13.0,91.0,1
VIN3_NF_SM,0,H4_multichannel,True,3.0,2025-09-10,23.0,161.0,2
VIN3_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN4_F_SM,1,H1_momentum,True,4.0,2025-05-24,10.0,70.0,1
VIN4_F_SM,1,H2_pers_red,False,,,,,0
VIN4_F_SM,1,H3_escalation,False,,,,,0
VIN4_F_SM,1,H4_multichannel,True,14.0,2025-08-02,0.0,0.0,1
VIN4_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN4_NF_SM,0,H1_momentum,True,4.0,2025-09-12,22.0,154.0,1
VIN4_NF_SM,0,H2_pers_red,False,,,,,0
VIN4_NF_SM,0,H3_escalation,True,7.0,2025-10-03,19.0,133.0,1
VIN4_NF_SM,0,H4_multichannel,True,0.0,2025-08-15,26.0,182.0,1
VIN4_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN5_F_SM,1,H1_momentum,True,4.0,2025-05-26,22.0,154.0,2
VIN5_F_SM,1,H2_pers_red,True,2.0,2025-05-12,24.0,168.0,1
VIN5_F_SM,1,H3_escalation,False,,,,,0
VIN5_F_SM,1,H4_multichannel,True,0.0,2025-04-28,26.0,182.0,1
VIN5_F_SM,1,H5_fleet_pctile,True,5.0,2025-06-02,21.0,147.0,1
VIN5_NF_SM,0,H1_momentum,True,17.0,2025-12-16,9.0,63.0,2
VIN5_NF_SM,0,H2_pers_red,True,23.0,2026-01-27,3.0,21.0,1
VIN5_NF_SM,0,H3_escalation,True,21.0,2026-01-13,5.0,35.0,1
VIN5_NF_SM,0,H4_multichannel,True,0.0,2025-08-19,26.0,182.0,1
VIN5_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN6_F_SM,1,H1_momentum,True,7.0,2025-06-24,19.0,133.0,1
VIN6_F_SM,1,H2_pers_red,True,2.0,2025-05-20,24.0,168.0,2
VIN6_F_SM,1,H3_escalation,True,10.0,2025-07-15,16.0,112.0,1
VIN6_F_SM,1,H4_multichannel,True,0.0,2025-05-06,26.0,182.0,2
VIN6_F_SM,1,H5_fleet_pctile,True,5.0,2025-06-10,21.0,147.0,2
VIN6_NF_SM,0,H1_momentum,True,4.0,2025-09-17,22.0,154.0,2
VIN6_NF_SM,0,H2_pers_red,True,2.0,2025-09-03,24.0,168.0,2
VIN6_NF_SM,0,H3_escalation,False,,,,,0
VIN6_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,2
VIN6_NF_SM,0,H5_fleet_pctile,True,5.0,2025-09-24,21.0,147.0,2
VIN7_F_SM,1,H1_momentum,True,8.0,2025-07-05,18.0,126.0,4
VIN7_F_SM,1,H2_pers_red,True,13.0,2025-08-09,13.0,91.0,2
VIN7_F_SM,1,H3_escalation,True,11.0,2025-07-26,15.0,105.0,1
VIN7_F_SM,1,H4_multichannel,True,0.0,2025-05-10,26.0,182.0,2
VIN7_F_SM,1,H5_fleet_pctile,True,18.0,2025-09-13,8.0,56.0,1
VIN7_NF_SM,0,H1_momentum,True,17.0,2025-12-17,9.0,63.0,1
VIN7_NF_SM,0,H2_pers_red,False,,,,,0
VIN7_NF_SM,0,H3_escalation,False,,,,,0
VIN7_NF_SM,0,H4_multichannel,True,17.0,2025-12-17,9.0,63.0,1
VIN7_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN8_F_SM,1,H1_momentum,True,11.0,2025-07-13,15.0,105.0,3
VIN8_F_SM,1,H2_pers_red,True,18.0,2025-08-31,8.0,56.0,1
VIN8_F_SM,1,H3_escalation,True,16.0,2025-08-17,10.0,70.0,1
VIN8_F_SM,1,H4_multichannel,True,14.0,2025-08-03,12.0,84.0,3
VIN8_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN8_NF_SM,0,H1_momentum,True,7.0,2025-10-08,19.0,133.0,2
VIN8_NF_SM,0,H2_pers_red,False,,,,,0
VIN8_NF_SM,0,H3_escalation,False,,,,,0
VIN8_NF_SM,0,H4_multichannel,True,0.0,2025-08-20,26.0,182.0,1
VIN8_NF_SM,0,H5_fleet_pctile,False,,,,,0
VIN9_F_SM,1,H1_momentum,True,14.0,2025-04-06,12.0,84.0,1
VIN9_F_SM,1,H2_pers_red,False,,,,,0
VIN9_F_SM,1,H3_escalation,False,,,,,0
VIN9_F_SM,1,H4_multichannel,True,0.0,2024-12-29,26.0,182.0,1
VIN9_F_SM,1,H5_fleet_pctile,False,,,,,0
VIN9_NF_SM,0,H1_momentum,True,14.0,2025-11-18,12.0,84.0,1
VIN9_NF_SM,0,H2_pers_red,False,,,,,0
VIN9_NF_SM,0,H3_escalation,False,,,,,0
VIN9_NF_SM,0,H4_multichannel,True,0.0,2025-08-12,26.0,182.0,1
VIN9_NF_SM,0,H5_fleet_pctile,False,,,,,0
